,picture,name,author,price,score,sum
107,https://img1.doubanio.com/view/subject/s/public/s3983958.jpg,人生的枷锁,[英] 毛姆 ,[英] 毛姆 ,9.1,在混沌纷扰的生活漩流中，寻求人生的真谛
108,https://img2.doubanio.com/view/subject/s/public/s28332051.jpg,斯通纳,[美] 约翰·威廉斯 ,[美] 约翰·威廉斯 ,8.9,即使不能拥有完美的生活，所幸追求过完整的自我
109,https://img9.doubanio.com/view/subject/s/public/s4619775.jpg,人生的智慧,(德)叔本华 ,(德)叔本华 ,9.2,对世俗、实用问题深刻而透彻的讨论
110,https://img2.doubanio.com/view/subject/s/public/s1044902.jpg,飞鸟集,[印] 罗宾德拉纳德·泰戈尔 ,[印] 罗宾德拉纳德·泰戈尔 ,8.9,一个淡泊清透的世界
111,https://img1.doubanio.com/view/subject/s/public/s3134040.jpg,鹿鼎记,金庸 ,金庸 ,8.9,武侠的解构，流氓的狂欢
112,https://img2.doubanio.com/view/subject/s/public/s1106951.jpg,毛泽东选集第一卷,毛泽东 ,毛泽东 ,9.6,
113,https://img9.doubanio.com/view/subject/s/public/s34072986.jpg,桶川跟踪狂杀人事件,[日] 清水洁 ,[日] 清水洁 ,9.0,
114,https://img2.doubanio.com/view/subject/s/public/s3628082.jpg,受戒:汪曾祺自选集,汪曾祺 ,汪曾祺 ,9.3,江南乡镇民间生活，健康淳朴的人性
115,https://img2.doubanio.com/view/subject/s/public/s6987353.jpg,陆犯焉识,严歌苓 ,严歌苓 ,8.9,翻手为苍凉，覆手为繁华
116,https://img2.doubanio.com/view/subject/s/public/s2393243.jpg,梦里花落知多少,三毛 ,三毛 ,8.8,哀而不伤
117,https://img1.doubanio.com/view/subject/s/public/s1595557.jpg,边城,沈从文 ,沈从文 ,8.7,一切充满了善，然而到处是不凑巧
118,https://img1.doubanio.com/view/subject/s/public/s2619779.jpg,十万个为什么,少年儿童出版社 ,少年儿童出版社 ,9.2,
119,https://img1.doubanio.com/view/subject/s/public/s33317677.jpg,克莱因壶,[日]冈岛二人 ,[日]冈岛二人 ,8.9,
120,https://img2.doubanio.com/view/subject/s/public/s1914861.jpg,时间简史:插图本,[英] 史蒂芬·霍金 ,[英] 史蒂芬·霍金 ,8.9,探索时间和空间的核心秘密
121,https://img9.doubanio.com/view/subject/s/public/s2019056.jpg,王尔德童话,[英] 王尔德 ,[英] 王尔德 ,9.1,一颗纯美纯善、永难泯灭的童心
122,https://img2.doubanio.com/view/subject/s/public/s6828981.jpg,这些人，那些事,吴念真 ,吴念真 ,8.8,平淡叙述下的惊心动魄
